,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
19164,19722,Aitor Aramburu,1991-11-30 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100129200.0
19167,19725,Jani Jankkila,1982-01-18 00:00:00,FIN,,,,,,,,,,,,,,,,,,,100095663.0
19168,19726,Shota Iino,1989-07-08 00:00:00,JPN,,,,,,,,,,,,,,,,,,,100059358.0
19171,19729,Jacob Kahoun,1992-04-05 00:00:00,SUI,,,,,,,,,,,,,,820.0,-2.0,46.0,,,30003804.0
19180,19738,Pedro Sousa/Leonardo Tavares,,,,,,,,,,,,,,,,,,,,,
19193,19751,Hiroki Kondo/Takao Suzuki,,,,,,,,,,,,,,,,,,,,,
19194,19752,Hiroki Moriya/Arata Onozawa,,,,,,,,,,,,,,,,,,,,,
19196,19754,Sergey Pushnikov,1991-07-19 00:00:00,RUS,,,,,,,,,,,,,,,,,,,100120205.0
19197,19755,Dmitry Surchenko,1990-05-02 00:00:00,RUS,,,,,,,,,,,,15535.0,,,,,,,100081360.0
19201,19760,Ariez Elyaas Deen Heshaam,1993-12-24 00:00:00,MAS,,,,,,,,,,,,,,,,,,,100114747.0
19202,19761,Daniel Santos,1994-10-01 00:00:00,PER,,,,,,,,,,,,,,,,,,,100137997.0
19203,19762,Marious Zelba,1990-05-15 00:00:00,AUS,,,,,,,,,,,,,,,,,,,100077986.0
19205,19764,Gerard Granollers/Marcel Granollers,,,,,,,,,,,,,,,,,,,,,
19216,19775,Alexander Kudryavtsev/Denis Matsukevitch,,,,,,,,,,,,,,,,,,,,,
19222,19781,Mateusz Kowalczyk/Lukas Rosol,,,,,,,,,,,,,,,,,,,,,
19226,19785,Americo Lanzoni,1988-11-19 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100089730.0
